ID,Start time,Completion time,Last modified time,Do you agree with the terms and conditions?,Year Level,Institute,Degree Program - IABF - Manila,Degree Program - IARFA,Degree Program - IAS,Degree Program - IE,Degree Program - IHSN,Degree Program - ITHM,Degree Program - FEU Makati,Are you currently a working student?,Are you currently taking Wellness and Recreation Program (WRP) this 1st Semester?,What is your WRP curriculum?,Were you able to secure a slot that is convenient for your time?,What are the reasons that your slot is inconvenient for you?,"What schedule of WRP should be opened with more slots? 

(Select at most 3.)
",There should be a walk-in session (Community Dance Fitness) in the afternoon.,The one fixed booking per week is not enough for me to comply with the minimum-hour requirement.,The WRP booking system is accessible.,Walk-in sessions are more reliable than scheduling an appointment through Power Apps.,"There are enough WRP considerations offered for students with disabilities (physical, mental, etc.)",The WRP time slot I enrolled does not reflect on the student central.,The new policies and guidelines of WRP for the Academic Year 2023-2024 consider the welfare of the students from all year levels.,"On a scale of 1 to 10, how satisfied are you with the overall procedures and new system of the Wellness and Recreation Program?","Please put any other concerns, suggestions, and recommendations you may have in relation to the new guidelines released about the Wellness and Recreation Program that is not stated in this survey."
1,8/16/23 19:54:51,8/16/23 19:59:01,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Biology (Medical Biology Track),,,,,No,Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);,Wednesday 12:00 PM - 1:30 PM;Wednesday 10:30 AM - 12:00 PM;Saturday 10:30 AM - 12:00 PM;,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,6,Release guidelines asap
2,8/16/23 22:47:39,8/16/23 22:49:25,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Political Science (Philippine Politics and Foreign Relations Track),,,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;,Friday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,New schedules
3,8/16/23 22:47:49,8/16/23 22:50:03,,Yes,2nd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Accountancy,,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Tuesday 9:00 AM - 10:30 AM;Wednesday 1:30 PM - 3:00 PM;Thursday 3:00 PM - 4:30 PM;,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,7,Detailed explanation of the new WRP system
4,8/16/23 22:48:20,8/16/23 22:50:06,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Conflicting Schedule;Limited Slots of Other Schedules;,Saturday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,1,allow students to book 3x a week
5,8/16/23 22:48:26,8/16/23 22:50:19,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Monday 4:30 PM - 6:00 PM;Tuesday 3:00 PM - 4:30 PM;Thursday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,2,more slots for booking same with walk in
6,8/16/23 22:47:39,8/16/23 22:50:22,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Biology (Medical Biology Track),,,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Tuesday 12:00 PM - 1:30 PM;Friday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,1,ABOLISH WRP!!!
7,8/16/23 22:48:03,8/16/23 22:50:27,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Biology (Medical Biology Track),,,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Monday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,7,NA
8,8/16/23 22:48:49,8/16/23 22:50:56,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Biology (Medical Biology Track),,,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Tuesday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,4,"Lessen the needed hours
No WRP for 3rd year and 4th year students"
9,8/16/23 22:48:20,8/16/23 22:51:12,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Conflicting Schedule;Limited Slots of Other Schedules;Hindi lumalabas yung mga activities and booking ??;,Wednesday 12:00 PM - 1:30 PM;Wednesday 1:30 PM - 3:00 PM;Friday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,2,Please sana maayos na agad yung booking system since ang hirap mag habol!! 
10,8/16/23 22:49:20,8/16/23 22:51:12,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Convergent Media Track),,,,,Employed (Part-time),Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Tuesday 1:30 PM - 3:00 PM;Tuesday 3:00 PM - 4:30 PM;Tuesday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,1,"The scale should be down to 0, there are no wellness in WRP. WRP SHOULD BE FOR THE STUDENT NOT FOR MONEY!"
11,8/16/23 22:48:07,8/16/23 22:51:18,,Yes,3rd Year,Institute of Tourism and Hotel Management,,,,,,Bachelor of Science in Hotel and Restaurant Management (Culinary Management Track),,No,Yes,2021 curriculum (WRP02XX),No,Limited Slots of Other Schedules;,Thursday 3:00 PM - 4:30 PM;Saturday 3:00 PM - 4:30 PM;Monday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly disagree,3,Open more slot
12,8/16/23 22:48:50,8/16/23 22:51:25,,Yes,4th Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Internal Auditing,,,,,,,No,Yes,2018 curriculum (WRP01XX),No,Conflicting Schedule;Limited Slots of Other Schedules;,Tuesday 3:00 PM - 4:30 PM;Friday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,1,Abolish wrp in 4th yr 
13,8/16/23 22:47:15,8/16/23 22:51:31,,Yes,3rd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Business Administration (Financial Management Track),,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Thursday 3:00 PM - 4:30 PM;Thursday 4:30 PM - 6:00 PM;Thursday 6:00 PM - 7:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,5,"The app is accessible but i cannot still reserve a slot to finish my wrp ahead of time due to technical issues and bugs. In this case, the system last academic year is much better than the present system"
14,8/16/23 22:48:53,8/16/23 22:51:34,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Saturday 7:30 AM - 9:00 AM;Friday 9:00 AM - 10:30 AM;Thursday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,1,bring back the old booking and add cancellation button only 
15,8/16/23 22:47:01,8/16/23 22:51:42,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Saturday 10:30 AM - 12:00 PM;Saturday 12:00 PM - 1:30 PM;Saturday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Strongly disagree,1,More of walk in sessions.
16,8/16/23 22:48:36,8/16/23 22:51:43,,Yes,2nd Year,Institute of Architecture and Fine Arts,,Bachelor of Science in Architecture (Housing Design Track),,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Friday 3:00 PM - 4:30 PM;Thursday 3:00 PM - 4:30 PM;Tuesday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,2,N/A
17,8/16/23 22:48:45,8/16/23 22:51:45,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Medical Technology,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 10:30 AM - 12:00 PM;Monday 12:00 PM - 1:30 PM;Monday 1:30 PM - 3:00 PM ;,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly disagree,Strongly disagree,1,N/A
18,8/16/23 22:48:44,8/16/23 22:51:51,,Yes,3rd Year,Institute of Tourism and Hotel Management,,,,,,Bachelor of Science in Tourism Management (Travel and Tours Management Track),,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Thursday 9:00 AM - 10:30 AM;Thursday 10:30 AM - 12:00 PM;Thursday 12:00 PM - 1:30 PM;,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,1,There are no available activities for my assigned schedule. I also suggest that WRP would not be necessary to have for students 3rd year and above. 
19,8/16/23 22:48:05,8/16/23 22:51:53,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Limited Slots of Other Schedules;Lack of Information (Unclear Guidelines/Instructions);,Friday 7:30 AM - 9:00 AM;Tuesday 7:30 AM - 9:00 AM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly disagree,1,Increase the slots for walk-in CDF from 120 to 400
20,8/16/23 22:49:13,8/16/23 22:52:14,,Yes,3rd Year,Institute of Tourism and Hotel Management,,,,,,Bachelor of Science in Tourism Management (Travel and Tours Management Track),,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 1:30 PM - 3:00 PM ;Monday 3:00 PM - 4:30 PM;Tuesday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,1,Lessen the hours needed to pass the WRP
21,8/16/23 22:48:29,8/16/23 22:52:21,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Convergent Media Track),,,,,No,Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);,Tuesday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,2,"It's better to retain the old WRP system wherein students are allowed 3 bookings per week. However, the department should also work on improving the booking system to avoid problems in the future. Problems such as Site crashes, no cancellation of booked sessions, and more. "
22,8/16/23 22:48:28,8/16/23 22:52:25,,Yes,3rd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Internal Auditing,,,,,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Wednesday 10:30 AM - 12:00 PM;Monday 1:30 PM - 3:00 PM ;Monday 9:00 AM - 10:30 AM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,1,N/a.
23,8/16/23 22:48:23,8/16/23 22:52:25,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Political Science (Philippine Politics and Foreign Relations Track),,,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Wednesday 10:30 AM - 12:00 PM;Monday 9:00 AM - 10:30 AM;Monday 1:30 PM - 3:00 PM ;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,1,None.
24,8/16/23 22:47:53,8/16/23 22:52:27,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Science in Biology (Medical Biology Track),,,,,No,Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;Conflicting Schedule;,Wednesday 9:00 AM - 10:30 AM;Wednesday 3:00 PM - 4:30 PM;Friday 9:00 AM - 10:30 AM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,ibalik yung dating way (last sem) ng pagbobook ng wrp 
25,8/16/23 22:49:08,8/16/23 22:52:32,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Medical Technology,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Wednesday 9:00 AM - 10:30 AM;Monday 1:30 PM - 3:00 PM ;Saturday 9:00 AM - 10:30 AM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,"Bring back the old policy, it is more okay than the new policy"
26,8/16/23 22:49:32,8/16/23 22:52:34,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Wednesday 3:00 PM - 4:30 PM;Wednesday 1:30 PM - 3:00 PM;Wednesday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,"Bring back the old system where students can freely pick their wrp, and has the capacity to have wrp 3 times a week"
